콘텐츠,조회수,시청 시간(단위: 시간),노출수,노출 클릭률 (%)
합계,3019,11.3,7428,4.6
"김제 벽골제, 백제가 만든 지평선 🌾 #shorts",976,2.3,106,17.0
"쌀이 떠난 항구, 군산 원도심 근대건축 #Shorts",390,0.3,160,5.6
40년 뒤 다시 걷는 국민학교 등굣길 #Shorts,324,0.5,180,3.9
"부안 고사포 노을, 시인이 노래한 '그 먼 나라'",286,0.3,90,7.8
"익산에서 온 물이 멈추는 곳, 군산 옥구 #Shorts",207,0.2,234,3.9
🏸 [D-91]부송 20주년 시리즈 예고 | D-90 카운트다운 시작 #Shorts #배드민턴,96,0.7,501,2.2
노을이 물드는 그린을 걷다 ⛳🌅 #shorts,91,0.2,143,3.5
[D-90] 20년의 한마음 — 부송 배드민턴 클럽 20주년 (2007~2026),66,1.0,49,6.1
"BTS도 걸었던 그 길, 완주 위봉산성 🏯 #shorts",38,0.1,202,3.0
"노을이 다 질 때까지, 그대들과 ⛳️ #shorts",33,0.2,103,9.7
"건축사의 고향, 군산 — 40년 뒤, 다시 걷다 ｜ 원도심·옥구·임피",33,0.8,299,6.0
"비 오는 99칸 고택, 마당의 고요 🏯 #정읍 #한옥",30,0.3,134,8.2
건축물 해체공사 감리비 산출 가이드 (실비정액가산방식),29,0.6,133,13.5
평당 310만 vs 975만? 한국 아파트 건축비가 천차만별인 이유,24,0.7,215,8.4
"설계 오류 막는 법! 건물 냉난방 부하 계산의 표준, RTS법 완벽 가이드",21,0.3,162,10.5
"안개 낀 백제CC, 40년 우정의 라운딩 ⛳ | 친구 넷이 걷는",19,0.2,213,8.0
[익산 배드민턴] 부송클럽 창립 20주년 기념 영상 🏸,18,0.1,74,4.1
"부안 개암사 전나무길, 백제 고찰로 가는 길",17,0.1,203,1.5
2D 규제를 넘어 3D로 설계하는 최대 용적률 확보 가이드,15,0.2,175,7.4
"아직도 숨쉬기 운동만 하세요? 뱃살은 못 참지ㅋㅋㅋ",12,0.0,95,3.2
[건축사 필수 시청] 2026년 상주감리 대가 산출기 작성법,12,0.2,38,15.8
봄— 샤우팅 골프장에서 돌고래 발성 터진 사연,11,0.0,45,6.7
옥내소화전 양정 계산 방법 완벽 정리: NFTC 102 기준,11,0.1,98,8.2
실무자 필독! 변화된 KDS 41 건축구조기준과 설계하중,10,0.1,121,6.6
