구분,조회수 비율 (%)
남성,66.5
여성,33.5
만 13-17세,0.0
만 18-24세,0.0
만 25-34세,10.7
만 35-44세,20.9
만 45-54세,38.3
만 55-64세,17.2
만 65세 이상,12.9
