트래픽 소스 유형,조회수 비율 (%)
Shorts 피드,83.4
YouTube 검색,5.4
채널 페이지,4.0
탐색 기능,2.6
외부,1.6
알림,1.0
직접 입력 또는 알 수 없음,0.8
기타 YouTube 기능,0.8
관련 Shorts 동영상,0.2
사운드 페이지,0.1
재생목록,0.1
최종 화면,0.1
추천 동영상,0.0
해시태그 페이지,0.0
