콘텐츠,조회수,시청 시간(단위: 시간),노출수,노출 클릭률 (%)
합계,7872,26.2,13730,3.6
싱가포르 이 나무 중 한 그루는 굴뚝입니다 #shorts,1379,2.0,151,4.6
"싱가포르 아트사이언스 뮤지엄, 손가락은 열 개입니다 #shorts",1266,2.4,129,3.9
싱가포르 쇼핑몰 천장에서 200톤이 돌고 있습니다 #shorts,1251,5.0,214,4.2
🏸 [D-76] EP.1 창립의 열정 | 2007~2010 | 부송 20주년 #Shorts #배드민턴,489,0.6,282,1.8
공항 한가운데에 100년 전 집이 서 있습니다 #shorts,432,0.4,145,1.4
싱가포르 창이공항의 밤 ✈️ 이 밤을 건너면 집입니다 #shorts,420,0.6,142,7.8
사람을 죽이던 자리에 세운 집 ｜ 전주 전동성당 #shorts,366,1.3,15,33.3
🏸 [D-61] EP.2 함께 자란 시간 | 2011~2015 | 부송 20주년 #Shorts #배드민턴,330,0.5,205,2.4
성당 빛은 왜 위에서 내려올까 ｜ 전주 전동성당 #shorts,324,0.5,40,17.5
"1894년, 이 뚝에서 시작됐습니다 ｜ 정읍 만석보 #shorts",303,0.4,156,2.6
Changi Airport at night — the last hour before home #shorts,206,0.2,193,1.6
밤이 되면 도시는 윤곽만 남습니다 ｜ 싱가포르 마리나베이 #shorts,189,0.2,145,2.8
"2026.12.17 시행 ｜ 위반건축물 양성화 특별법, 내 집도 될까? 🏠",156,1.9,3485,3.4
[D-60] 부송 배드민턴 20주년 — EP2 「함께 자란 시간」 (2011~2015),54,1.2,324,5.9
[D-75] 부송 배드민턴 20주년 — EP1 「창립의 열정」 (2006~2010),48,1.0,396,2.8
옥내소화전 양정 계산 방법 완벽 정리: NFTC 102 기준 펌프 용량 산정 가이드,36,0.5,171,16.4
"향교와 서원의 차이, 이것 하나만 보면 됩니다 ｜ 건축사가 22곳을 걷고 찾은 기준",36,0.2,160,3.8
Korea's oldest reservoir was built in 330 AD 🌾 #shorts,33,0.1,267,3.0
"건축사의 고향, 군산 — 40년 뒤, 다시 걷다 ｜ 원도심·옥구·임피·수시탑 [1·2·3부 통합]",31,1.2,429,6.8
"평당 310만 vs 975만? 한국 아파트 건축비가 천차만별한 진짜 이유 (서울, 부산, 제주 비교)",30,1.0,258,6.6
건축물 해체공사 감리비 산출 가이드 (실비정액가산방식 vs 요율방식 완벽 비교),29,0.4,203,7.9
[건축법규 실무] 놓친 법령 개정 0건: 매월 6단계로 훑는 만민 법규 검토 요약,27,0.2,531,2.3
"설계 오류 막는 법! 건물 냉난방 부하 계산의 표준, RTS법 완벽 가이드",22,0.1,189,5.8
실무자 필독! 변화된 KDS 41 건축구조기준과 설계하중 산정법,18,0.2,144,9.7
"""영등중이라 행복했습니다"" 전교회장의 눈물 섞인 마지막 졸업식 송사 (2020.01.03)",18,0.2,110,13.6
"비 오는 99칸 고택, 마당의 고요 🏯 #정읍 #한옥 #shorts",17,0.1,83,4.8
🏸 [D-91]부송 20주년 시리즈 예고 | D-90 카운트다운 시작 #Shorts #배드민턴,15,0.1,226,2.7
"옥내소화전 & 스프링클러 겸용 펌프 설계 마스터 가이드 (NFTC 102, 103 완벽 적용)",13,0.2,106,11.3
스프링클러 펌프 용량계산 가이드: NFTC 103 기준 수리계산 완벽 마스터,13,0.2,97,8.3
"야.야.야.버디 완벽한 라인, 완벽한 거리... 그런데 결과가? 😱",10,0.0,36,8.3
볼---.샤우팅 공프장에서 돌고래 발성 터진 사연 (feat. 역대급 샤우팅) 📢🐬,10,0.0,57,7.0
시뮬레이션(CONTAM)과 현장 성능 검증의 모든 것 (제연설비 마스터 클래스),10,0.3,114,7.9
"부안 고사포 노을, 시인이 노래한 '그 먼 나라' #shorts",9,0.0,173,0.0
[기계설비 실무] MANMIN-Ver2.0: 기계설비법 기준 풍량 최적화 및 덕트 규격 산정 매뉴얼,9,0.1,51,11.8
"[익산 배드민턴] 부송클럽 창립 20주년 기념 영상 🏸 ""20년의 한마음, 부송의 이야기""",9,0.0,61,4.9
KDS & NFTC 기준 비상발전기 설계 플레이북: 용량 산정부터 유지시간까지,8,0.1,84,4.8
기계설비 펌프 용량 산정 가이드: 전양정(H)과 동력(P) 계산부터 장비 선정까지,8,0.1,77,6.5
아직도 숨쉬기 운동만 하세요? 뱃살은 못 참지ㅋㅋㅋ #익산배드민턴 #부송동배드민턴,7,0.0,80,0.0
"BTS도 걸었던 그 길, 완주 위봉산성 🏯 #shorts",7,0.0,73,0.0
건축사들 멘탈 나갔을 때 하는 짓 ㅋㅋㅋ (feat. 마우스 던지기) #쇼츠 #건축사,7,1.2,84,0.0
낙화암에서 본 백마강 12초 #shorts,7,0.0,31,0.0
건축물 열관류율 자동 산출 시스템 - MANMIN Ver-2.0 (에너지절약설계기준 완벽 반영),6,0.1,45,8.9
"부안 개암사 전나무길, 백제 고찰로 가는 길 #shorts",6,0.0,69,0.0
"[MANMIN Special] 건축설계와 설비의 완벽한 통합, 1% 전문가 김만민 건축사의 기술 로드맵",6,0.0,47,2.1
기계설비 급배수 관경 산정 가이드: 헌터 곡선 & 하젠-윈리엄스 공식 완벽 적용,6,0.1,52,3.9
백제가 마지막으로 싸운 바위 #shorts,6,0.0,88,0.0
천 년을 산 나무 앞에서 #shorts,5,0.0,55,0.0
[건축사 필수 시청] 2026년 상주감리 대가 산출기 작성 및 행정 처리 원스톱 매뉴얼,5,0.0,49,4.1
